Text Key	Specified	Default	Translate Value	Afrikaans (af)	Arabic (ar)	Armenian (hy)	Azerbaijani (az)	Basque (eu)	Belarusian (be)	Bengali (bn)	Bulgarian (bg)	Burmese (my)	Catalan (ca)	Chinese (zh-rCN)	Taiwanese (zh-rTW)	Croatian (hr)	Czech (cs)	Danish (da)	Dutch (nl)	Estonian (et)	English (en)	Finnish (fi)	French (fr)	German (de)	Greek (el)	Herbew (iw)	Hindi (hi)	Hungarian (hu)	Icelandic (is)	Indonesian (id)	Indonesian (in)	Italian  (it)	Japanese (ja)	Kannada (kn)	Khmer (km)	Korean (ko)	Lao (lo)	Latvian (lv)	Lithuanian (lt)	Macedonian (mk)	Malay (ms)	Malayalam (ml)	Marathi (mr)	Mongolian (mn)	Nepali (ne)	Norwegian Bokmal (nb)	Persian (fa)	Polish (pl)	Portuguese (pt)	Romanian (ro)	Russian (ru)	Serbian (sr)	Sinhala (si)	Slovak (sk)	Slovenian (sl)	Spanish (es)	Swahili (sw)	Swedish (sv)	Telugu (te)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Vietnamese (vi)	Zulu (zu)
app_title	Capfirstchar	Meloha	Meloha	meloha	ميلوها	Մելոհա	Meloha	Meloha	Мелоха	মেলোহা	Мелоха	Meloha	Meloha	梅洛哈	梅洛哈	Meloha	Meloha	Meloha	Meloha	Meloha	Meloha	Meloha	Méloha	Meloha	Μελόχα	מלוחה	मेलोहा	Meloha	Meloha	Meloha	Meloha	Meloha	メロハ	ಮೆಲೋಹಾ	មេឡូហា	멜로하	ເມໂລຮາ	Meloha	Meloha	Мелоха	Meloha	മെലോഹ	मेलोहा	Мелоха	मेलोहा	Meloha	ملوها	Meloha	Meloha	Meloha	Мелоха	Мелоха	මෙලෝහා	Meloha	Meloha	meloha	Meloha	Meloha	మెలోహా	เมโลฮา	Meloha	Мелоха	Meloha	I-Meloha
default_notification_channel_id	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel	fcm_default_channel
warm_welcome	Capfirstchar	Warm Welcome	Warm Welcome	Cálida bienvenida	ترحيب دافئ	Ջերմ ողջույն	İltifatsız	Bero harrera ona	Цёплы вітаем	উষ্ণ অভ্যর্থনা	Топло посрещане	ပူနွေးကြိုဆိုပါသည်	Càlida benvinguda	热烈欢迎	熱烈歡迎	Topla dobrodošlica	Vřelé přivítání	Varm velkomst	Warm welkom	Soe vastuvõtt	Warm Welcome	Lämpimästi tervetuloa	Accueil chaleureux	Herzliches Willkommen	Θερμή υποδοχή	קבלת פנים חמה	गर्मजोशी से स्वागत	Meleg fogadtatás	Hlýtt velkomin	Sambutan hangat	Sambutan hangat	Caldo benvenuto	温かい歓迎	ಬೆಚ್ಚಗಿನ ಸ್ವಾಗತ	ការ​ស្វាគមន៍​យ៉ាង​កក់​ក្តៅ	따뜻한 환영	ຍິນດີຕ້ອນຮັບຄວາມອົບອຸ່ນ	Sirsnīga uzņemšana	Šiltas pasveikinimas	Топло добредојде	Selamat datang	ചൂടുള്ള സ്വാഗതം	हार्दिक स्वागत	Дугуй нь, тавтай морил	न्यानो स्वागत छ	Varm velkomst	استقبال گرم	Ciepłe powitanie	Boas vindas calorosas	Primire călduroasă	Теплое приветствие	Срдачна добродошлица	සාදරයෙන් පිළිගනිමු	Vrúcne privítanie	Toplo dobrodošlico	Cálida bienvenida	Karibu joto	Varmt välkommen	వెచ్చని స్వాగతం	ต้อนรับอย่างอบอุ่น	Sıcak bir karşılama	Тепле привітання	Chào đón nồng nhiệt	Uyemukelwa ngemfudumalo
warm_welcome_info	Capfirstchar	We hope you have a sweet time here	We hope you have a sweet time here	Esperamos que lo pases bien aquí	نأمل أن يكون لديك وقت جميل هنا	Հուսով ենք, որ այստեղ քաղցր ժամանակ ունեք	Ümid edirik ki, burada şirin bir vaxtınız var	Hemen denbora gozoa izatea espero dugu	Мы спадзяемся, што ў вас тут ёсць салодкі час	আমরা আশা করি আপনি এখানে একটি মিষ্টি সময় আছে	Надяваме се да имате сладко време тук	မင်းဒီမှာချိုမြိန်တဲ့အချိန်ရှိတယ်လို့မျှော်လင့်ပါတယ်	Esperem que us passeu una estona dolça aquí	我们希望您在这里度过美好的时光	我們希望您在這裡度過美好的時光	Nadamo se da ćete ovdje imati slatko vrijeme	Doufáme, že máte sladký čas	Vi håber du har en sød tid her	We hopen dat je hier een lieve tijd hebt	Loodame, et teil on siin armas aeg	We hope you have a sweet time here	Toivomme, että sinulla on suloinen aika täällä	Nous espérons que vous passez un bon moment ici	Wir hoffen, Sie haben hier eine süße Zeit	Ελπίζουμε να έχετε μια γλυκιά στιγμή εδώ	אנו מקווים שיהיה לך זמן מתוק כאן	हमें उम्मीद है कि आपके पास यहां एक मीठा समय होगा	Reméljük, hogy itt van egy édes időd	Við vonum að þú hafir ljúfan tíma hérna	Kami harap Anda memiliki waktu yang manis di sini	Kami harap Anda memiliki waktu yang manis di sini	Speriamo che tu ti diverta qui	ここで甘い時間を過ごすことを願っています	ನಿಮಗೆ ಇಲ್ಲಿ ಸಿಹಿ ಸಮಯವಿದೆ ಎಂದು ನಾವು ಭಾವಿಸುತ್ತೇವೆ	យើងសង្ឃឹមថាអ្នកមានពេលវេលាដ៏ផ្អែមល្ហែមនៅទីនេះ	우리는 당신이 여기서 달콤한 시간을 보내시기 바랍니다	ພວກເຮົາຫວັງວ່າທ່ານຈະມີເວລາທີ່ຫວານຢູ່ທີ່ນີ້	Mēs ceram, ka jums šeit ir salds laiks	Tikimės, kad čia mielai praleisite laiką	Се надеваме дека имате слатко време тука	Kami harap anda mempunyai masa yang manis di sini	നിങ്ങൾക്ക് ഇവിടെ ഒരു മധുരമുള്ള സമയം ഉണ്ടെന്ന് ഞങ്ങൾ പ്രതീക്ഷിക്കുന്നു	आम्ही आशा करतो की आपल्याकडे येथे एक गोड वेळ असेल	Та энд сайхан өнгөрөөе гэж найдаж байна	हामी आशा गर्छौं कि तपाईंसँग यहाँ मिठो समय छ	Vi håper du har en søt tid her	ما امیدواریم که شما در اینجا یک زمان شیرین داشته باشید	Mamy nadzieję, że masz tu słodki czas	Esperamos que você tenha um tempo doce aqui	Sperăm să aveți o perioadă dulce aici	Мы надеемся, что вы здесь приятно провести время	Надамо се да ћете овде имати слатко време	අපි හිතනවා ඔබට මෙතන මිහිරි කාලයක් තියෙනවා කියලා	Dúfame, že tu máte sladký čas	Upamo, da se tukaj lepo imate	Esperamos que lo pases bien aquí	Tunatumahi kuwa na wakati mzuri hapa	Vi hoppas att du har en söt tid här	మీకు ఇక్కడ మధురమైన సమయం ఉందని మేము ఆశిస్తున్నాము	เราหวังว่าคุณจะมีช่วงเวลาที่แสนหวานที่นี่	Umarım burada tatlı zaman geçirirsin	Ми сподіваємось, у вас тут солодкий час	Chúng tôi hy vọng bạn có một thời gian ngọt ngào ở đây	Siyethemba unesikhathi esimnandi lapha
error_when_open_url	Capfirstchar	Error when open URL	Error when open URL	Error cuando se abre URL	خطأ عند فتح عنوان URL	Սխալ, երբ URL- ն	Açıq URL olduqda səhv	Errorea URL irekian dagoenean	Памылка пры адкрытым URL	ত্রুটি যখন খোলা URL	Грешка при отваряне на URL	ပွင့်လင်း url အခါအမှား	Error en obrir URL	打开URL时错误	打開URL時錯誤	Pogreška kada je otvoreni URL	Chyba, když otevřete URL	Fejl ved åben URL	Fout bij open URL	Viga, kui avatud URL	Error when open URL	Virhe, kun avoin URL -osoite	Erreur lors de l'ouverture de l'URL	Fehler beim Öffnen von URL	Σφάλμα όταν ανοίξτε τη διεύθυνση URL	שגיאה בעת פתיחת כתובת אתר	URL खोलने पर त्रुटि	Hiba, ha megnyitja az URL -t	Villa þegar opið slóð	Kesalahan saat membuka URL	Kesalahan saat membuka URL	Errore quando aperto URL	URLを開くときのエラー	URL ತೆರೆದಾಗ ದೋಷ	កំហុសនៅពេលបើក URL	URL을 열 때 오류	ຜິດພາດໃນເວລາທີ່ເປີດ URL	Kļūda, kad atvērts URL	Klaida, kai atidarytas URL	Грешка кога е отворена URL -адреса	Ralat Apabila URL Buka	URL തുറക്കുമ്പോൾ പിശക്	URL उघडताना त्रुटी	Нээлттэй URL дээр алдаа гарлаа	URL जब URL जब	Feil når du er åpen	خطا هنگام باز کردن URL	Błąd podczas otwartego adresu URL	Erro ao abrir URL	Eroare la deschidere URL	Ошибка при открытии URL	Грешка приликом отворене УРЛ адресе	විවෘත URL එක විට දෝෂයකි	Chyba pri otvorenej adrese URL	Napaka pri odprtju URL	Error cuando se abre URL	Kosa wakati wazi URL	Fel när öppen URL	తెరిచినప్పుడు లోపం	ข้อผิดพลาดเมื่อเปิด URL	URL'yi açarken hata	Помилка, коли відкрита URL -адреса	Lỗi khi mở URL	Iphutha lapho i-URL evulekile
login	Capfirstchar	Login	Login	Acceso	تسجيل الدخول	Մուտք	Daxil ol	Saioa hasi	Увайсці	প্রবেশ করুন	Влизам	လော့ဂ်အင်	iniciar Sessió	登录	登入	Prijaviti se	Přihlásit se	Log på	Log in	Logi sisse	Login	Kirjaudu sisään	Se connecter	Anmeldung	Σύνδεση	התחברות	लॉग इन करें	Belépés	Skrá inn	Gabung	Gabung	Login	ログイン	ಲಗಾಟಿಸು	ចូល	로그인	ເຂົ້າ​ສູ່​ລະ​ບົບ	Pieslēgties	Prisijungti	Логирај Се	Log masuk	ലോഗിൻ	लॉगिन	Нэвтрэх	लग - इन	Logg Inn	وارد شدن	Zaloguj sie	Conecte-se	Log in	Авторизоваться	Пријавите се	ඇතුල් වන්න	Prihlásiť sa	Vpiši se	Acceso	Ingia	Logga in	ప్రవేశించండి	เข้าสู่ระบบ	Giriş yapmak	Вхід	Đăng nhập	Ngena ngemvume
txt_and	Capfirstchar	and	and	y	و	մի քանազոր	və	eta	і	এবং	и	နှင့်	i	和	和	i	a	og	En	ja	and	ja	et	Und	και	וכן	और	és	Og	Dan	Dan	E	そして	ಮತ್ತು	និង	그리고	ແລະ	un	ir	и	dan	ഒപ്പം	आणि	ба	र	og	وت	I	e	și	и	и	සහ	a	in	y	na	och	మరియు	และ	Ve	і	Và	na-
term_privacy_policy	Capfirstchar	Privacy Policy	Privacy Policy	política de privacidad	سياسة الخصوصية	Գաղտնիության քաղաքականություն	Gizlilik Siyasəti	Pribatutasun politika	Палітыка прыватнасці	গোপনীয়তা নীতি	Политика за поверителност	ကိုယ်ရေးအချက်အလက်မူဝါဒ	Política de privacitat	隐私政策	隱私政策	Pravila o privatnosti	Zásady ochrany osobních údajů	Fortrolighedspolitik	Privacybeleid	Privaatsuspoliitika	Privacy Policy	Tietosuojakäytäntö	politique de confidentialité	Datenschutzrichtlinie	Πολιτική απορρήτου	מדיניות הפרטיות	गोपनीयता नीति	Adatvédelmi irányelvek	Friðhelgisstefna	Kebijakan pribadi	Kebijakan pribadi	politica sulla riservatezza	プライバシーポリシー	ಗೌಪ್ಯತಾ ನೀತಿ	គោលការណ៍​ភាព​ឯកជន	개인 정보 정책	ນະໂຍບາຍຄວາມເປັນສ່ວນຕົວ	Privātuma politika	Privatumo politika	Политика за приватност	Dasar Privasi	സ്വകാര്യതാ നയം	गोपनीयता धोरण	Нууцлалын бодлого	गोपनीयता नीति	Personvernregler	سیاست حفظ حریم خصوصی	Polityka prywatności	política de Privacidade	Politica de confidențialitate	политика конфиденциальности	Правила о приватности	රහස්යතා ප්රතිපත්තිය	Zásady ochrany osobných údajov	Politika zasebnosti	política de privacidad	Sera ya faragha	Integritetspolicy	గోప్యతా విధానం	นโยบายความเป็นส่วนตัว	Gizlilik Politikası	Політика конфіденційності	Chính sách bảo mật	Inqubomgomo yobumfihlo
term_cookies_policy	Capfirstchar	Cookies Policy	Cookies Policy	Política de cookies	اتفاقية ملفات تعريف الارتباط	Տեղեկանիշների քաղաքականություն	Cookies Siyasəti	Cookie politika	Палітыка кукі	কুকিজ নীতি	Политика за бисквитки	ကွတ်ကီးများမူဝါဒ	Política de cookies	Cookies政策	Cookies政策	Politika kolačića	Politika cookies	Cookies -politik	Cookiesbeleid	Küpsiste poliitika	Cookies Policy	Evästeet	Politique des cookies	Cookies -Richtlinien	Πολιτική cookies	מדיניות עוגיות	कुकीज़ नीति	Sütik politika	Stefna fyrir smákökur	Kebijakan Cookie	Kebijakan Cookie	Politica sui cookie	Cookiesポリシー	ಕುಕೀಸ್ ನೀತಿ	គោលនយោបាយខូឃីស៍	쿠키 정책	ນະໂຍບາຍ Cookies	Sīkdatņu politika	Slapukų politika	Политика за колачиња	Dasar kuki	കുക്കികളുടെ നയം	कुकीज धोरण	Crowibies-iti Засгийн бодлого	कुकीज नीति	Cookies Policy	سیاست کوکی ها	Polityka plików cookie	Política de cookies	Politica cookie -urilor	Политика файлов cookie	Политика колачића	කුකීස් ප්රතිපත්තිය	Politika cookie	Pravilnik o piškotki	Política de cookies	Sera ya kuki	Kakpolicy	కుకీల విధానం	นโยบายคุกกี้	Çerezler Politikası	Політика файлів cookie	Chính sách cookie	Inqubomgomo yamakhukhi
account_recovery	Capfirstchar	Account recovery	Account recovery	Recuperación de Cuenta	استرجاع الحساب	Հաշվի վերականգնում	Hesabın bərpası	Kontua berreskuratzea	Аднаўленне рахунку	একাউন্ট পুনরুদ্ধার	Възстановяване на акаунта	အကောင့်ပြန်လည်နာလန်ထူ	Recuperació del compte	帐户恢复	帳戶恢復	Oporavak računa	Obnovení účtu	Konto gendannelse	Accountherstel	Konto taastamine	Account recovery	Tilinpalautus	Récupération du compte	Konto-Wiederherstellung	Ανάκτηση Λογαριασμού	שחזור חשבון	खाता पुनर्प्राप्ति	Fiók visszaállítás	Endurheimt reikninga	Pemulihan Akun	Pemulihan Akun	Recupero dell'account	アカウント復旧	ಖಾತೆ ಚೇತರಿಕೆ	ការសង្គ្រោះគណនី	계정 복구	ການຟື້ນຟູບັນຊີ	Konta atkopšana	Sąskaitos atkūrimas	Обнова на сметката	Pemulihan akaun	അക്കൗണ്ട് വീണ്ടെടുക്കൽ	खाते पुनर्प्राप्ती	Дансны нөхөн сэргээх	खातामा रिकभरी	Gjenopprettelse av konto	بازیابی حساب	Odzyskiwanie konta	Recuperação de conta	Recuperarea contului	Восстановление аккаунта	Рачун опоравак	ගිණුම් ප්රතිසාධනය	Vymáhanie účtu	Izterjava računa	Recuperación de Cuenta	Kupona akaunti	Kontoåterhämtning	ఖాతా రికవరీ	การกู้คืนบัญชี	Hesap kurtarma	Відновлення рахунку	Phục hồi tài khoản	Ukululama kwe-akhawunti
